iter	Passed	Remaining
0	137	137629
1	138	69198
2	139	46329
3	140	34878
4	140	28001
5	141	23433
6	141	20132
7	142	17716
8	143	15826
9	144	14281
10	144	13019
11	145	11966
12	145	11082
13	146	10315
14	146	9642
15	147	9051
16	147	8550
17	148	8099
18	149	7698
19	149	7327
20	150	7003
21	150	6701
22	151	6434
23	152	6183
24	152	5955
25	153	5734
26	153	5531
27	154	5352
28	154	5184
29	155	5025
30	156	4882
31	156	4744
32	157	4613
33	158	4492
34	158	4374
35	159	4263
36	159	4160
37	160	4062
38	161	3971
39	161	3884
40	162	3799
41	163	3718
42	163	3641
43	164	3567
44	164	3496
45	165	3427
46	165	3361
47	166	3298
48	166	3238
49	167	3179
50	168	3126
51	168	3073
52	169	3021
53	169	2972
54	170	2924
55	170	2879
56	171	2835
57	171	2792
58	172	2751
59	173	2713
60	173	2676
61	174	2640
62	175	2603
63	175	2567
64	176	2534
65	176	2502
66	177	2474
67	178	2441
68	178	2412
69	179	2381
70	179	2352
71	180	2325
72	181	2298
73	181	2272
74	182	2247
75	182	2222
76	183	2198
77	183	2173
78	184	2151
79	185	2135
80	186	2113
81	186	2092
82	187	2067
83	187	2047
84	188	2027
85	188	2008
86	189	1989
87	190	1972
88	190	1953
89	191	1936
90	192	1919
91	192	1903
92	193	1886
93	194	1870
94	194	1854
95	195	1838
96	195	1823
97	196	1809
98	197	1794
99	197	1779
100	198	1765
101	198	1750
102	199	1736
103	199	1722
104	200	1709
105	201	1695
106	201	1682
107	202	1670
108	202	1658
109	203	1646
110	204	1635
111	204	1624
112	205	1613
113	206	1602
114	206	1591
115	207	1580
116	208	1571
117	208	1560
118	209	1550
119	209	1539
120	210	1529
121	211	1518
122	211	1508
123	212	1499
124	212	1489
125	213	1479
126	213	1469
127	214	1460
128	214	1451
129	215	1441
130	215	1432
131	216	1423
132	217	1416
133	217	1408
134	218	1402
135	219	1394
136	220	1387
137	220	1379
138	221	1373
139	222	1365
140	222	1358
141	223	1348
142	223	1341
143	224	1333
144	224	1325
145	225	1318
146	225	1310
147	226	1302
148	226	1295
149	227	1288
150	227	1281
151	228	1274
152	228	1266
153	229	1261
154	230	1254
155	230	1247
156	231	1240
157	231	1234
158	232	1228
159	232	1223
160	233	1215
161	234	1211
162	234	1205
163	235	1199
164	235	1193
165	236	1187
166	236	1181
167	237	1176
168	238	1170
169	238	1165
170	239	1160
171	239	1154
172	240	1149
173	240	1143
174	241	1138
175	242	1133
176	242	1128
177	243	1123
178	243	1118
179	244	1113
180	244	1108
181	245	1103
182	246	1098
183	246	1093
184	247	1088
185	247	1084
186	248	1080
187	249	1076
188	249	1072
189	250	1067
190	251	1063
191	251	1058
192	252	1054
193	252	1049
194	253	1045
195	253	1041
196	254	1036
197	254	1032
198	255	1028
199	256	1024
200	256	1020
201	257	1016
202	257	1012
203	258	1008
204	259	1004
205	259	1000
206	260	997
207	260	993
208	261	989
209	262	986
210	262	982
211	263	979
212	264	975
213	264	972
214	265	968
215	265	965
216	266	961
217	267	958
218	267	955
219	268	952
220	269	948
221	269	945
222	270	941
223	270	938
224	271	935
225	272	931
226	272	928
227	273	924
228	273	921
229	274	918
230	274	914
231	275	911
232	276	908
233	276	905
234	277	902
235	277	899
236	278	897
237	279	894
238	279	891
239	280	889
240	281	886
241	281	883
242	282	879
243	283	877
244	283	874
245	284	871
246	284	868
247	285	865
248	285	862
249	286	859
250	287	856
251	287	853
252	288	850
253	288	847
254	289	844
255	289	842
256	290	839
257	290	836
258	291	833
259	292	831
260	293	829
261	293	827
262	294	824
263	295	822
264	295	820
265	296	817
266	296	814
267	297	811
268	297	809
269	298	806
270	299	804
271	299	801
272	300	799
273	300	796
274	301	794
275	301	791
276	302	789
277	302	786
278	303	784
279	304	781
280	304	779
281	305	776
282	305	774
283	306	772
284	306	769
285	307	767
286	307	764
287	308	762
288	309	761
289	310	759
290	310	756
291	311	754
292	311	752
293	312	750
294	312	747
295	313	745
296	314	743
297	314	741
298	315	739
299	315	736
300	316	734
301	316	732
302	317	730
303	318	728
304	318	726
305	319	724
306	319	722
307	320	719
308	320	717
309	321	715
310	322	713
311	323	712
312	323	710
313	324	708
314	324	706
315	325	704
316	326	702
317	326	700
318	327	698
319	327	696
320	328	694
321	328	692
322	329	690
323	329	688
324	330	686
325	331	684
326	331	682
327	332	680
328	332	678
329	333	676
330	333	675
331	334	673
332	335	671
333	335	669
334	336	667
335	336	665
336	337	664
337	338	662
338	338	660
339	339	659
340	340	657
341	341	656
342	341	654
343	342	652
344	342	650
345	343	648
346	343	646
347	344	645
348	344	643
349	345	641
350	345	639
351	346	637
352	346	635
353	347	634
354	348	632
355	348	630
356	349	628
357	349	627
358	350	625
359	350	623
360	351	622
361	352	620
362	352	619
363	353	617
364	354	616
365	354	614
366	355	613
367	356	611
368	357	610
369	357	609
370	358	607
371	358	605
372	359	604
373	360	602
374	360	601
375	361	599
376	361	597
377	362	596
378	362	594
379	363	593
380	364	591
381	364	589
382	365	588
383	365	586
384	366	585
385	366	583
386	367	582
387	368	580
388	368	579
389	369	578
390	370	576
391	370	575
392	371	573
393	372	573
394	373	571
395	373	570
396	374	568
397	375	567
398	375	566
399	376	564
400	377	563
401	377	561
402	378	560
403	378	559
404	379	557
405	380	556
406	380	554
407	381	553
408	381	551
409	382	550
410	383	549
411	383	547
412	384	546
413	384	544
414	385	543
415	386	542
416	386	540
417	387	539
418	387	537
419	388	536
420	389	535
421	389	533
422	390	532
423	390	530
424	391	529
425	391	528
426	392	526
427	393	525
428	393	523
429	394	522
430	394	521
431	395	519
432	395	518
433	396	516
434	396	515
435	397	514
436	397	512
437	398	511
438	399	510
439	399	508
440	400	507
441	401	506
442	401	505
443	402	504
444	403	502
445	403	501
446	404	500
447	404	498
448	405	497
449	406	496
450	406	495
451	407	493
452	407	492
453	408	491
454	408	489
455	409	488
456	410	487
457	410	486
458	411	484
459	411	483
460	412	482
461	412	480
462	413	479
463	414	478
464	414	477
465	415	476
466	416	474
467	416	473
468	417	472
469	417	471
470	418	470
471	419	468
472	419	467
473	420	466
474	420	465
475	421	464
476	422	462
477	422	461
478	423	460
479	423	459
480	424	457
481	424	456
482	425	455
483	426	454
484	426	453
485	427	451
486	427	450
487	428	449
488	429	448
489	429	447
490	430	446
491	431	445
492	431	444
493	432	443
494	433	441
495	433	440
496	434	439
497	434	438
498	435	437
499	435	435
500	436	434
501	436	433
502	437	432
503	438	431
504	438	429
505	439	428
506	439	427
507	440	426
508	440	425
509	441	424
510	441	422
511	442	421
512	443	420
513	443	419
514	444	418
515	444	417
516	445	416
517	446	415
518	446	414
519	447	413
520	448	411
521	448	410
522	449	409
523	449	408
524	450	407
525	450	406
526	451	405
527	451	404
528	452	402
529	453	401
530	453	400
531	454	399
532	454	398
533	455	397
534	455	396
535	456	395
536	456	393
537	457	392
538	457	391
539	458	390
540	459	389
541	459	388
542	460	387
543	461	386
544	461	385
545	462	384
546	463	383
547	463	382
548	464	381
549	464	380
550	465	379
551	465	378
552	466	377
553	466	375
554	467	374
555	468	373
556	468	372
557	469	371
558	469	370
559	470	369
560	471	368
561	471	367
562	472	366
563	472	365
564	473	364
565	474	363
566	474	362
567	475	361
568	476	360
569	476	359
570	477	358
571	478	357
572	478	356
573	479	355
574	479	354
575	480	353
576	481	352
577	481	351
578	482	350
579	482	349
580	483	348
581	484	347
582	484	346
583	485	345
584	485	344
585	486	343
586	486	342
587	487	341
588	488	340
589	488	339
590	489	338
591	490	338
592	491	337
593	491	336
594	492	335
595	493	334
596	493	333
597	494	332
598	495	331
599	495	330
600	496	329
601	497	328
602	497	327
603	498	326
604	498	325
605	499	324
606	499	323
607	500	322
608	500	321
609	501	320
610	501	319
611	502	318
612	503	317
613	503	316
614	504	315
615	505	314
616	505	314
617	506	313
618	507	312
619	507	311
620	508	310
621	509	309
622	509	308
623	510	307
624	510	306
625	511	305
626	511	304
627	512	303
628	512	302
629	513	301
630	513	300
631	514	299
632	514	298
633	515	297
